類別,分類
酒吧扒房,燒烤店
湘菜館,中式
印度餐廳,異國料理
現代印度餐廳,異國料理
巴基斯坦餐廳,異國料理
緬甸餐廳,南洋
印度香飯餐廳,異國料理
日式燒肉餐廳,日式
日式咖哩餐廳,日式
亞洲菜餐廳,異國料理
清真餐廳,異國料理
粥餐廳,中式
東南亞餐廳,南洋
印尼餐廳,南洋
越式河粉餐廳,南洋
擔擔麵專門店,中式
酒樓,港式
